,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example
2130,鈍,8.0,12,1574,2.0,['ドン'],"['にぶ.い', 'にぶ.る', 'にぶ-', 'なま.る', 'なまく.ら']","['dull', 'slow', 'foolish', 'blunt']",僕は右の肩ぐちにふと鈍い疼きを感じる。
2131,奈,4.0,8,841,1.0,"['ナ', 'ナイ', 'ダイ']","['いかん', 'からなし']","['Nara', 'what?']",ジェーンは京都についてほど奈良について知りません。
2132,那,8.0,7,1621,1.0,"['ナ', 'ダ']","['なに', 'なんぞ', 'いかん']",['what?'],旦那様をしっかり捕まえていなさい。
2133,内,2.0,4,44,2.0,"['ナイ', 'ダイ']",['うち'],"['inside', 'within', 'between', 'among', 'house', 'home']",彼女は内へ入っていきました。
2134,乍,,5,0,,"['サ', 'サク']","['-なが.ら', 'たちま.ち']","['though', 'notwithstanding', 'while', 'during', 'both', 'all']",
2135,凪,9.0,6,0,1.0,[],"['なぎ', 'な.ぐ']","['lull', 'calm', '(kokuji)']",嵐の後には凪が来る。
2136,薙,9.0,16,0,,"['テイ', 'チ']","['な.ぐ', 'なぎ', 'か.る']",['mow down (the enemy)'],
2137,謎,8.0,16,2021,,"['メイ', 'ベイ']",['なぞ'],"['riddle', 'puzzle', 'enigma', 'hint', 'tip']",その場所はどこか謎めいている。
2138,灘,9.0,21,1912,,"['タン', 'ダン']","['なだ', 'せ']",['open sea'],
2139,捺,9.0,11,0,1.0,"['ナツ', 'ダツ']","['さ.す', 'お.す']","['press', 'print', 'affix a seal', 'stamp']",
2140,鍋,8.0,17,1810,,['カ'],['なべ'],"['pot', 'pan', 'kettle']",その鍋に触らないで。すごく熱いから。
2141,楢,9.0,13,2032,,"['シュウ', 'ユウ']",['なら'],['oak'],
2142,馴,9.0,13,0,,"['ジュン', 'シュン', 'クン']","['な.れる', 'な.らす', 'したが.う']","['get used to', 'experienced', 'tamed']",幼馴染ってこわ・・・。
2143,縄,4.0,15,1075,1.0,['ジョウ'],"['なわ', 'ただ.す']","['straw rope', 'cord']",泥棒を見て縄をなう。
2144,畷,,13,0,,"['テツ', 'テイ', 'セイ']",['なわて'],['rice field ridge path'],
2145,南,2.0,9,341,4.0,"['ナン', 'ナ']",['みなみ'],['south'],鳥は冬になると南へ飛んでいく。
2146,楠,9.0,13,1927,1.0,"['ナン', 'ダン', 'ゼン', 'ネン']","['くす', 'くすのき']",['camphor tree'],
2147,軟,8.0,11,1269,2.0,['ナン'],"['やわ.らか', 'やわ.らかい']",['soft'],ここの軟骨が飛び出しています。
2148,難,6.0,18,330,2.0,['ナン'],"['かた.い', '-がた.い', 'むずか.しい', 'むづか.しい', 'むつか.しい', '-にく.い']","['difficult', 'impossible', 'trouble', 'accident', 'defect']",死んだフリして難をのがれたそうです。
2149,汝,9.0,6,0,,['ジョ'],"['なんじ', 'なれ', 'い', 'うぬ', 'いまし', 'し', 'しゃ', 'な', 'なむち', 'まし', 'みまし']","['you', 'thou']",すべての希望を捨てよ、汝ここより入る者よ。
2150,二,1.0,2,9,4.0,"['ニ', 'ジ']","['ふた', 'ふた.つ', 'ふたたび']","['two', 'two radical (no. 7)']",二、三歩下がって下さい。
2151,尼,8.0,5,1844,1.0,['ニ'],['あま'],['nun'],尼は終生独身の誓いを立てる。
2152,弐,8.0,6,0,1.0,"['ニ', 'ジ']","['ふた.つ', 'そえ']","['II', 'two', 'second']",彼は弐心を懐いている。
2153,迩,,8,0,,"['ジ', 'ニ']",['ちか.い'],"['approach', 'near', 'close']",
2154,匂,8.0,4,2213,,[],"['にお.う', 'にお.い', 'にお.わせる']","['fragrant', 'stink', 'glow', 'insinuate', '(kokuji)']",それはいい匂いがする。
2155,賑,9.0,14,0,,['シン'],"['にぎ.わい', 'にぎ.やか', 'にぎ.わす', 'にぎ.わう']","['flourish', 'be bustling', 'prosperity']",この通りは賑やかだ。
2156,肉,2.0,6,986,3.0,['ニク'],['しし'],['meat'],その犬は肉を食べなかった。
2157,虹,8.0,9,2110,1.0,['コウ'],['にじ'],['rainbow'],林の虹も消えました、
2158,廿,9.0,4,0,,"['ジュウ', 'ニュウ']",['にじゅう'],['twenty'],大正九年二月廿四日亡
2159,日,1.0,4,1,4.0,"['ニチ', 'ジツ']","['ひ', '-び', '-か']","['day', 'sun', 'Japan', 'counter for days']",天気のよい日です。
2160,乳,6.0,8,1289,2.0,['ニュウ'],"['ちち', 'ち']","['milk', 'breasts']",うちの牛は全く乳が出ない。
2161,入,1.0,2,56,4.0,"['ニュウ', 'ジュ']","['い.る', '-い.る', '-い.り', 'い.れる', '-い.れ', 'はい.る']","['enter', 'insert']",もっとも重要なことは、脳にはこれらの解剖学的組織を結合する全体的な再入経路が必要である。
2162,如,8.0,6,1704,1.0,"['ジョ', 'ニョ']",['ごと.し'],"['likeness', 'like', 'such as', 'as if', 'better', 'best', 'equal']",それは相互理解の欠如がもとになっていると思う。
2163,尿,8.0,7,1672,1.0,['ニョウ'],"['ゆばり', 'いばり', 'しと']",['urine'],尿の色が濁っています。
2164,韮,,12,2353,,"['キュウ', 'ク']",['にら'],['leek'],
2165,任,5.0,6,217,2.0,['ニン'],"['まか.せる', 'まか.す']","['responsibility', 'duty', 'term', 'entrust to', 'appoint']",彼は裁判官に任ぜられた。
2166,妊,8.0,7,1413,1.0,"['ニン', 'ジン']","['はら.む', 'みごも.る']",['pregnancy'],不妊症です。
2167,忍,8.0,7,1700,1.0,['ニン'],"['しの.ぶ', 'しの.ばせる']","['endure', 'bear', 'put up with', 'conceal', 'secrete', 'spy', 'sneak']",忍を行じてのみ、よく怨みを解くことを得る。
2168,認,6.0,14,198,2.0,['ニン'],"['みと.める', 'したた.める']","['acknowledge', 'witness', 'discern', 'recognize', 'appreciate', 'believe']",彼の言うことは認めるが、彼に賛成することは出来ない。
2169,濡,9.0,17,2260,,"['ジュ', 'ニュ']","['ぬれ.る', 'ぬら.す', 'ぬ.れる', 'ぬ.らす', 'うるお.い', 'うるお.う', 'うるお.す']","['get wet', 'damp', 'make love']",濡れたコートが彼の外出の証拠であった。
2170,禰,9.0,18,0,,"['ネ', 'デイ', 'ナイ']",[],['ancestral shrine'],唯一辛うじて息があった妹の禰豆子をなんとか助けようとしますが、禰豆子が突然鬼に変貌し襲われているところ富岡義勇という剣士に救われます。
2171,祢,9.0,9,0,,"['ネ', 'デイ', 'ナイ']",[],['ancestral shrine'],
2172,寧,8.0,14,1697,1.0,['ネイ'],['むし.ろ'],"['rather', 'preferably', 'peaceful', 'quiet', 'tranquility']",私達はできる限りの丁寧な態度で彼を取り扱った。
2173,葱,,12,0,,['ソウ'],['ねぎ'],"['stone leek', 'Welsh onion']",
2174,猫,8.0,11,1702,2.0,['ビョウ'],['ねこ'],['cat'],猫がいなくなるとネズミたちが遊びだす。
2175,熱,4.0,15,700,2.0,['ネツ'],['あつ.い'],"['heat', 'temperature', 'fever', 'mania', 'passion']",今日は少し熱がある。
2176,年,1.0,6,6,4.0,['ネン'],['とし'],"['year', 'counter for years']",今年は１９９０年です。
2177,念,4.0,8,390,2.0,['ネン'],[],"['wish', 'sense', 'idea', 'thought', 'feeling', 'desire', 'attention']",彼は、念のため、暗くなったら外には出ないと娘に約束させた。
2178,捻,8.0,11,0,,"['ネン', 'ジョウ']","['ね.じる', 'ねじ.る', 'ひね.くる', 'ひね.る']","['twirl', 'twist', 'play with']",彼は転んで足首を捻挫した。
2179,撚,,15,2398,,['ネン'],"['よ.る', 'よ.れる', 'より', 'ひね.る']","['twist', 'twine', 'kinky']",
2180,燃,5.0,16,948,2.0,['ネン'],"['も.える', 'も.やす', 'も.す']","['burn', 'blaze', 'glow']",このヒーターはガスを燃料とする。
2181,粘,8.0,11,1410,1.0,['ネン'],['ねば.る'],"['sticky', 'glutinous', 'greasy', 'persevere']",乾燥した空気のせいで痛んだノドや鼻の粘膜は、風邪のウイルスが入り込みやすくなってしまいます。暖房器具で寒さ対策、加湿器で乾燥対策をしっかり行なうことが肝要です。
2182,乃,9.0,2,1978,1.0,"['ナイ', 'ダイ', 'ノ', 'アイ']","['の', 'すなわ.ち', 'なんじ']","['from', 'possessive particle', 'whereupon', 'accordingly']",私は貴乃花が急いで体育館を出てくる時、彼をちらっと見た。
2183,廼,,9,0,,"['ナイ', 'ダイ', 'ノ', 'アイ']","['すなわ.ち', 'なんじ']","['in other words', 'thou', 'you', 'possessive particle']",
2184,之,9.0,3,1318,1.0,['シ'],"['の', 'これ', 'ゆく', 'この']","['of', 'this']",断じて行えば鬼神も之を避く。
2185,埜,10.0,11,0,,"['ヤ', 'ショ']",['の'],"['open country', 'field', 'wilderness']",
2186,嚢,,18,0,,"['ノウ', 'ドウ']",['ふくろ'],"['pouch', 'purse', 'bag']",氷嚢をください。
2187,悩,8.0,10,1084,2.0,['ノウ'],"['なや.む', 'なや.ます', 'なや.ましい', 'なやみ']","['trouble', 'worry', 'in pain', 'distress', 'illness']",私には悩みを相談できる人がいないのです。
2188,濃,8.0,16,1200,2.0,['ノウ'],['こ.い'],"['concentrated', 'thick', 'dark', 'undiluted']",軈て幽霊は濃い霧の中に消えた。
2189,納,6.0,10,987,1.0,"['ノウ', 'ナッ', 'ナ', 'ナン', 'トウ']","['おさ.める', '-おさ.める', 'おさ.まる']","['settlement', 'obtain', 'reap', 'pay', 'supply', 'store']",サンドラは日本食は何でも食べますが、納豆だけは食べません。
2190,能,5.0,10,273,2.0,['ノウ'],"['よ.く', 'あた.う']","['ability', 'talent', 'skill', 'capacity']",能は伝統的な日本の芸術である。
2191,脳,6.0,11,459,2.0,"['ノウ', 'ドウ']",['のうずる'],"['brain', 'memory']",彼らは脳の機能について研究している。
2192,膿,,17,0,,"['ノウ', 'ドウ']","['う.む', 'うみ']","['pus', 'fester', 'discharge']",蓄膿症です。
2193,農,3.0,13,385,2.0,['ノウ'],[],"['agriculture', 'farmers']",霜は農作物に悪影響を及ぼしました。
2194,覗,,12,0,,['シ'],"['のぞ.く', 'うかが.う']","['peep', 'peek', 'come in sight']",箱の中を覗き込んだ。
2195,蚤,,10,0,,['ソウ'],"['のみ', 'はやい']",['flea'],カレンは、蚤の市でたくさんものを買った。
2196,巴,9.0,4,2082,1.0,['ハ'],"['ともえ', 'うずまき']",['comma-design'],
2197,把,8.0,7,1569,1.0,"['ハ', 'ワ']",[],"['grasp', 'faggot', 'bunch', 'counter for bundles']",私は彼の議論の全体像を把握した。
2198,播,9.0,15,2204,,"['ハ', 'バン', 'ハン']",['ま.く'],"['plant', 'sow']",
2199,覇,8.0,19,1173,1.0,"['ハ', 'ハク']",['はたがしら'],"['hegemony', 'supremacy', 'leadership', 'champion']",「スーパーソニック」は世界制覇すると思うかい。
2200,杷,9.0,8,0,,['ハ'],['つか'],"['kind of rake', 'loquat']",
2201,波,3.0,8,740,2.0,['ハ'],['なみ'],"['waves', 'billows', 'Poland']",波が高い。
2202,派,6.0,9,164,1.0,['ハ'],[],"['faction', 'group', 'party', 'clique', 'sect', 'school']",反体制派はすべて旧体制のもとで粛清されました。
2203,琶,9.0,12,1966,,"['ハ', 'ベ', 'ワ']",[],['lute'],琵琶湖が見えてきた。
2204,破,5.0,10,590,2.0,['ハ'],"['やぶ.る', 'やぶ.れる', 'わ.れる']","['rend', 'rip', 'tear', 'break', 'destroy', 'defeat', 'frustrate']",彼は約束を破ったが、それは大きな誤りだった。
2205,婆,8.0,11,2435,1.0,['バ'],"['ばば', 'ばあ']","['old woman', 'grandma', 'wet nurse']",こう言うのも老婆心だからどうぞ悪しからず。
2206,罵,8.0,15,2467,,['バ'],['ののし.る'],"['abuse', 'insult']",私はそれまでにこれほど罵倒にみちた手紙を受け取ったことはなかった。
2207,芭,9.0,7,2026,,"['バ', 'ハ']",[],['banana'],これは芭蕉の非常に有名な俳句です。
2208,馬,2.0,10,639,2.0,['バ'],"['うま', 'うま-', 'ま']",['horse'],馬はとても役に立つ動物である。
2209,俳,6.0,10,1137,1.0,['ハイ'],[],"['haiku', 'actor']",これは芭蕉の非常に有名な俳句です。
2210,廃,8.0,12,698,1.0,['ハイ'],"['すた.れる', 'すた.る']","['abolish', 'obsolete', 'cessation', 'discarding', 'abandon']",廃棄物は我々の水の一部を汚染した。
2211,拝,6.0,8,1443,2.0,['ハイ'],"['おが.む', 'おろが.む']","['worship', 'adore', 'pray to']",パーティーのご連絡をうれしく拝見しました。
2212,排,8.0,11,1047,1.0,['ハイ'],[],"['repudiate', 'exclude', 'expel', 'reject', 'line up', 'arrange']",車の排気ガスは都市の深刻な汚染を引き起こしている。
2213,敗,4.0,11,516,2.0,['ハイ'],['やぶ.れる'],"['failure', 'defeat', 'reversal']",もし万一再び失敗すると、私はその計画を断念するだろう。
2214,杯,8.0,8,1235,2.0,['ハイ'],['さかずき'],"['counter for cupfuls', 'wine glass', 'glass', 'toast']",コーヒーを１杯入れて下さい。
2215,盃,10.0,9,0,,['ハイ'],['さかずき'],"['glass', 'cup']",
2216,牌,,12,2247,,['ハイ'],"['ぱい', 'ふだ']","['label', 'signboard', 'medal', 'mahjong tiles']",麻雀牌はとってもきれいなものです。
2217,背,6.0,9,696,2.0,['ハイ'],"['せ', 'せい', 'そむ.く', 'そむ.ける']","['stature', 'height', 'back', 'behind', 'disobey', 'defy', 'go back on', 'rebel']",あなたは背が高いが彼はもっと高い。
2218,肺,6.0,9,1387,1.0,['ハイ'],[],['lungs'],彼は肺ガンの手術を受けた。
2219,輩,8.0,15,1365,1.0,['ハイ'],"['-ばら', 'やから', 'やかい', 'ともがら']","['comrade', 'fellow', 'people', 'companions']",凡庸愚昧な輩には、この理論は分からない。
2220,配,3.0,10,359,2.0,['ハイ'],['くば.る'],"['distribute', 'spouse', 'exile', 'rationing']",周囲が築地塀で囲まれ、その中心に正殿、東西前方に脇殿が配されている。
2221,倍,3.0,10,714,2.0,['バイ'],[],"['double', 'twice', 'times', 'fold']",中国の人口は日本の８倍です。
2222,培,8.0,11,1431,1.0,['バイ'],['つちか.う'],"['cultivate', 'foster']",茶はインドで広く栽培されている。
2223,媒,8.0,12,1900,1.0,['バイ'],['なこうど'],"['mediator', 'go-between']",空気は音の媒体だ。
2224,梅,4.0,10,1232,1.0,['バイ'],['うめ'],['plum'],梅の花は今週が見所です。
2225,楳,,13,0,,['バイ'],['うめ'],['plum'],
2226,煤,9.0,13,0,,"['バイ', 'マイ']",['すす'],"['soot', 'smoke dried']",玉はツゲやカバ、軸は真竹や煤竹、枠は黒檀と、すべてが自然木、ほとんどの工程が手づくりである。
2227,狽,,10,0,,"['ケン', 'バイ', 'ハイ']",[],"['wolf', 'be flurried']",狼狽した事には、私はお金をなくしていた事に気づいた。
2228,買,2.0,12,520,4.0,['バイ'],['か.う'],['buy'],サラはカバンとくつを買うことができませんでしたが、とてもいいおみやげを買うことができました。
2229,売,2.0,7,202,3.0,['バイ'],"['う.る', 'う.れる']",['sell'],彼は家を売りに出した。
2230,賠,8.0,15,1243,1.0,['バイ'],[],"['compensation', 'indemnify']",彼女は彼を相手取って損害賠償の訴訟を起こした。
2231,陪,8.0,11,1917,1.0,['バイ'],[],"['obeisance', 'follow', 'accompany', 'attend on']",陪審団による有罪評決が大論争の引き金となった。
2232,這,9.0,10,0,,"['シャ', 'ゲン']","['は.う', 'は.い', 'むか.える', 'この']","['crawl', 'creep', 'grovel', 'trail (vines)']",這っても黒豆。
2233,蝿,,15,0,,['ヨウ'],"['はえ', 'はい']",['fly'],閉じた口の中に蝿はとび込まない。
2234,秤,9.0,10,0,,"['ショウ', 'ヒン', 'ビン']",['はかり'],"['balances', 'scales', 'steelyard']",浴室の秤で体重を計った。
2235,矧,,9,0,,['シン'],"['は.ぐ', 'いわ.んや', 'はぐき', 'はぎ']",['feather (arrow)'],
2236,萩,9.0,12,1544,1.0,['シュウ'],['はぎ'],['bush clover'],私たちは自転車を借りて、萩野町を観光した。
2237,伯,8.0,7,1741,1.0,['ハク'],[],"['chief', 'count', 'earl', 'uncle', 'Brazil']",彼女ならカナダからの留学生で、僕の伯父のところに滞在しているんだ。
2238,剥,,10,2383,,"['ハク', 'ホク']","['へ.ぐ', 'へず.る', 'む.く', 'む.ける', 'は.がれる', 'は.ぐ', 'は.げる', 'は.がす']","['come off', 'peel', 'fade', 'discolor']",通用字体の「頰・賭・剝」に対する「頬・賭・剥」などを使用することは差し支えない。
2239,博,4.0,12,794,1.0,"['ハク', 'バク']",[],"['Dr.', 'command', 'esteem', 'win acclaim', 'Ph.D.', 'exposition', 'fair']",マイクと申しますが、博さんはいらっしゃいますか。
2240,拍,8.0,8,1373,1.0,"['ハク', 'ヒョウ']",[],"['clap', 'beat (music)']",彼はとんとん拍子に現在の地位まで上がった。
2241,柏,9.0,9,1606,,"['ハク', 'ヒャク', 'ビャク']",['かしわ'],"['oak', 'cypress']",もしここで柏餅が食べられれば、半年分の給料を払ってもいいと思ったくらいです。
2242,泊,8.0,8,1233,2.0,['ハク'],"['と.まる', 'と.める']","['overnight stay', 'put up at', 'ride at anchor']",予約を３泊から５泊に変更したい。
2243,白,1.0,5,483,4.0,"['ハク', 'ビャク']","['しろ', 'しら-', 'しろ.い']",['white'],あの白ワインを少し試してみたらどう？
2244,箔,9.0,14,0,,['ハク'],['すだれ'],"['foil', 'gilt']",
2245,粕,,11,1905,,['ハク'],['かす'],"['scrap', 'waste']",
2246,舶,8.0,11,1753,1.0,['ハク'],[],"['liner', 'ship']",懐中電灯は、船舶同士とか、街の通りを走っている自動車に向けて合図を伝える。
2247,薄,8.0,16,1009,2.0,['ハク'],"['うす.い', 'うす-', '-うす', 'うす.める', 'うす.まる', 'うす.らぐ', 'うす.ら-', 'うす.れる', 'すすき']","['dilute', 'thin', 'weak (tea)', 'pampas grass']",そこには消えることのない薄明かりがあった。
2248,迫,8.0,8,773,1.0,['ハク'],['せま.る'],"['urge', 'force', 'imminent', 'spur on']",飢饉の見通しが世界の多くの地域に迫っている。
2249,曝,9.0,19,0,,"['バク', 'ホク', 'ボク']",['さら.す'],"['bleach', 'refine', 'expose', 'air']",話をすることで自分を曝け出すことを恐れず、英語で他人としゃべるあらゆる機会をとらえなさい。そうすればじきに形式張らない会話の場面で気楽になれるであろう。
2250,漠,8.0,13,1611,1.0,['バク'],[],"['vague', 'obscure', 'desert', 'wide']",砂漠の砂は夜になると急速に冷える。
2251,爆,8.0,19,735,2.0,['バク'],['は.ぜる'],"['bomb', 'burst open', 'pop', 'split']",爆発の音に村人たちは仰天した。
2252,縛,8.0,16,1764,1.0,['バク'],['しば.る'],"['truss', 'arrest', 'bind', 'tie', 'restrain']",彼は両足を縛られてそこに横たわっていた。
2253,莫,9.0,10,0,,"['バク', 'ボ', 'マク', 'モ', 'ナイ']","['くれ', 'なか.れ', 'なし']","['must not', 'do not', 'be not']",その莫大な財産は自分に自由に出来る物だ、と彼は主張した。
2254,駁,,14,0,,"['ハク', 'バク']","['ぶち', 'まじ.る', 'まだら']","['refutation', 'contradiction']",進化という科学的真理が反対しようもないほど確証されもので、実質的に論駁できない。
2255,麦,2.0,7,1615,2.0,['バク'],['むぎ'],"['barley', 'wheat']",その農民は畑に麦の種をまいた。
2256,函,9.0,8,1781,,['カン'],"['はこ', 'い.れる']",['box (archaic)'],函館山に登るとすばらしい函館の夜景が見られる。
2257,箱,3.0,15,1357,2.0,['ソウ'],['はこ'],"['box', 'chest', 'case', 'bin', 'railway car']",箱の中に何がありますか。
2258,硲,,12,0,,[],['はざま'],"['ravine', 'gorge', 'gap', '(kokuji)']",
2259,箸,8.0,15,2156,,"['チョ', 'チャク']",['はし'],['chopsticks'],どうぞ料理が温かいうちに、箸をお取りください。
2260,肇,9.0,14,1943,1.0,"['チョウ', 'ジョウ', 'トウ']","['はじ.める', 'はじめ']",['beginning'],
2261,筈,9.0,12,0,,['カツ'],"['はず', 'やはず']","['notch of an arrow', 'ought', 'must', 'should be', 'expected']",本当の筈がない。
2262,櫨,,20,0,,['ロ'],['はぜ'],"['wax tree', 'sumac']",
2263,幡,9.0,15,1948,,"['マン', 'ハン', 'バン', 'ホン']",['はた'],['flag'],そもそも七夕は棚幡とも書いたが、現在でもお盆行事の一部でもある。
2264,肌,8.0,6,1559,2.0,['キ'],['はだ'],"['texture', 'skin', 'body', 'grain']",肌が乾燥しています。
2265,畑,3.0,9,1176,2.0,[],"['はた', 'はたけ', '-ばたけ']","['farm', 'field', 'garden', ""one's specialty"", '(kokuji)']",彼の家族は畑で働いている。
2266,畠,9.0,10,1860,,[],"['はたけ', 'はた']","['field', 'farm', 'garden', '(kokuji)']",
2267,八,1.0,2,92,4.0,"['ハチ', 'ハツ']","['や', 'や.つ', 'やっ.つ', 'よう']","['eight', 'eight radical (no. 12)']",私は一か八か彼の挑戦を受けてみた。
2268,鉢,8.0,13,1890,1.0,"['ハチ', 'ハツ']",[],"['bowl', 'rice tub', 'pot', 'crown']",彼は粘土で鉢をつくった。
2269,溌,,12,0,,['ハツ'],"['も.る', 'とびち.る', 'そそ.ぐ']","['sprinkle', 'lively', 'vigorous']",
2270,発,3.0,9,32,3.0,"['ハツ', 'ホツ']","['た.つ', 'あば.く', 'おこ.る', 'つか.わす', 'はな.つ']","['departure', 'discharge', 'publish', 'emit', 'start from', 'disclose', 'counter for gunshots']",４時１０分発の列車に乗りましょう。
2271,醗,,16,0,,['ハツ'],['かも.す'],"['fermentation', 'brewing']",
2272,髪,8.0,14,1474,2.0,['ハツ'],['かみ'],['hair of the head'],長い髪のあの少女はジュディさんです。
2273,伐,8.0,6,1816,1.0,"['バツ', 'ハツ', 'カ', 'ボチ']","['き.る', 'そむ.く', 'う.つ']","['fell', 'strike', 'attack', 'punish']",そこで防砂林の伐採前後における大気浮遊の元素組成の変動を分析した。
2274,罰,8.0,14,1220,1.0,"['バツ', 'バチ', 'ハツ']",['ばっ.する'],"['penalty', 'punishment']",今度は罰をまぬがれまい。
2275,抜,8.0,7,726,2.0,"['バツ', 'ハツ', 'ハイ']","['ぬ.く', '-ぬ.く', 'ぬ.き', 'ぬ.ける', 'ぬ.かす', 'ぬ.かる']","['slip out', 'extract', 'pull out', 'pilfer', 'quote', 'remove', 'omit']",箱の中には新聞や雑誌の切り抜きがあった。
2276,筏,,12,0,,"['バツ', 'ハツ', 'ボチ']",['いかだ'],['raft'],私は若い時、よく筏で川を下ったものだ。
2277,閥,8.0,14,1072,1.0,['バツ'],[],"['clique', 'lineage', 'pedigree', 'faction', 'clan']",第二次世界大戦後財閥の解体が行われた。
2278,鳩,9.0,13,1637,1.0,"['キュウ', 'ク']","['はと', 'あつ.める']","['pigeon', 'dove']",白い鳩はきれいな鳥です。
2279,噺,,16,2308,,[],['はなし'],"['talk', '(kokuji)']",
2280,塙,9.0,13,2340,,"['カク', 'コウ']","['はなわ', 'かた.い']",['projecting tableland or mountain'],
2281,蛤,,12,0,,['コウ'],['はまぐり'],['clam'],
2282,隼,9.0,10,2224,1.0,"['シュン', 'ジュン']",['はやぶさ'],['falcon'],
2283,伴,8.0,7,886,1.0,"['ハン', 'バン']",['ともな.う'],"['consort', 'accompany', 'bring with', 'companion']",私は彼のピアノ伴奏で歌いたい。
2284,判,5.0,7,197,2.0,"['ハン', 'バン']",['わか.る'],"['judgement', 'judgment', 'signature', 'stamp', 'seal']",この駐車券に判を押して下さい。
2285,半,2.0,5,224,4.0,['ハン'],['なか.ば'],"['half', 'middle', 'odd number', 'semi-', 'part-']",５時半におきなければならない。
2286,反,3.0,4,191,2.0,"['ハン', 'ホン', 'タン', 'ホ']","['そ.る', 'そ.らす', 'かえ.す', 'かえ.る', '-かえ.る']",['anti-'],予想に反して、この一年間で彼らの人気が上昇しました。
2287,叛,,9,0,,"['ハン', 'ホン']",['そむ.く'],"['disobey', 'defy', 'go back on', 'rebel', 'rebellion']",
2288,帆,8.0,6,1923,1.0,['ハン'],['ほ'],['sail'],帆は全部下ろされた。
2289,搬,8.0,13,1664,1.0,['ハン'],[],"['conveyor', 'carry', 'transport']",この後、ミキは病院へ搬送された。
2290,斑,8.0,12,2165,,['ハン'],"['ふ', 'まだら']","['spot', 'blemish', 'speck', 'patches']",私は白黒斑の犬を飼っている。
2291,板,3.0,8,926,2.0,"['ハン', 'バン']",['いた'],"['plank', 'board', 'plate', 'stage']",その漁師は浮かんでいる板によって助かった。
2292,氾,8.0,5,0,,['ハン'],['ひろ.がる'],"['spread out', 'wide']",突然、川が増水して氾濫した。
2293,汎,8.0,6,2014,,"['ハン', 'ブ', 'フウ', 'ホウ', 'ホン']","['ただよ.う', 'ひろ.い']",['pan-'],独立を維持したエチオピアの国旗の赤・黄・緑を汎アフリカ色とすることもある。
2294,版,5.0,8,802,2.0,['ハン'],[],"['printing block', 'printing plate', 'edition', 'impression', 'label']",この本は８版を重ねました。
2295,犯,5.0,5,874,2.0,"['ハン', 'ボン']",['おか.す'],"['crime', 'sin', 'offense']",人は疲れている時の方が間違いを犯しやすい。
2296,班,6.0,10,1592,1.0,['ハン'],[],"['squad', 'corps', 'unit', 'group']",「石の繭：警視庁殺人分析班」
2297,畔,8.0,10,2049,1.0,['ハン'],"['あぜ', 'くろ', 'ほとり']","['paddy ridge', 'levee']",我々はその湖の畔のホテルに泊まった。
2298,繁,8.0,16,1198,1.0,['ハン'],"['しげ.る', 'しげ.く']","['luxuriant', 'thick', 'overgrown', 'frequency', 'complexity', 'trouble']",頻繁にパーティーを開くのが大好きだ。
2299,般,8.0,10,649,2.0,['ハン'],[],"['carrier', 'carry', 'all', 'general', 'sort', 'kind']",今やノート型コンピューターは弁当箱と同じくらいが一般的だ。
2300,藩,8.0,18,1896,1.0,['ハン'],[],"['clan', 'enclosure']",偕楽園は江戸時代、水戸藩九代藩主によって造園されました。
2301,販,8.0,11,627,2.0,['ハン'],[],"['marketing', 'sell', 'trade']",私は販売員です。
2302,範,8.0,15,1088,1.0,['ハン'],[],"['pattern', 'example', 'model']",それは私たちの道徳的規範には受け入れられない。
2303,釆,,7,0,,"['ハン', 'ベン', 'サイ']","['と.る', 'いろどり', 'のごめ']","['separate', 'divide', 'topped rice radical (no. 165)']",
2304,煩,8.0,13,2081,1.0,"['ハン', 'ボン']","['わずら.う', 'わずら.わす', 'うるさ.がる', 'うるさ.い']","['anxiety', 'trouble', 'worry', 'pain', 'ill', 'annoy', 'nuisance', 'irksome']",この世に思い煩らうことはない。
2305,頒,8.0,13,2287,1.0,['ハン'],"['わ.かつ', 'わ.ける']","['distribute', 'disseminate', 'partition', 'understand']",ＧＰＬのルールに従い頒布可能です。
2306,飯,4.0,12,1046,3.0,['ハン'],['めし'],"['meal', 'boiled rice']",早飯の人は仕事が早い。
2307,挽,9.0,10,0,,['バン'],['ひ.く'],"['saw', 'turn (lathe)', 'grind']",マメちゃんがコーヒー豆を挽く為にコーヒーミルを使います。
2308,晩,6.0,12,1424,2.0,['バン'],[],"['nightfall', 'night']",その晩はとても寒かった。
2309,番,2.0,12,348,2.0,['バン'],['つが.い'],"['turn', 'number in a series']",６１番のバスに乗りました。
2310,盤,8.0,15,881,1.0,['バン'],[],"['tray', 'shallow bowl', 'platter', 'tub', 'board', 'phonograph record']",そうした制度は、社会の構成員が価値を持っていると考えている物にその基盤が置かれた。
2311,磐,9.0,15,1701,,"['バン', 'ハン']",['いわ'],"['rock', 'crag', 'cliff', 'wall (in a mine)']",
2312,蕃,9.0,15,2361,,"['バン', 'ハン']",[],['grow luxuriously'],
2313,蛮,8.0,12,2339,1.0,['バン'],['えびす'],['barbarian'],泣いたことがない若者は野蛮人であり、笑おうとしない老人は愚者である。
2314,匪,,10,0,,['ヒ'],"['あら.ず', 'かたみ']","['negation', 'wicked person']",
